문의번호,접수일시,접수월,접수요일,접수시간대,지역,문의채널,문의유형,우선순위,처리상태,처리담당자,처리시간(분),고객만족도,SLA준수
INQ-20243869,2024-01-02 23:54,2024-01,화,23시,경북,전화,반품/교환,보통,처리완료,정다은,43.0,4.0,Y
INQ-20242006,2024-01-03 00:19,2024-01,수,00시,서울,이메일,서비스불만,보통,처리중,윤지아,,,미결
INQ-20240487,2024-01-03 08:51,2024-01,수,08시,서울,전화,배송문의,보통,처리완료,장현석,23.0,4.0,N
INQ-20244479,2024-01-03 08:53,2024-01,수,08시,대전,전화,서비스불만,낮음,처리중,이재원,,,미결
INQ-20244705,2024-01-03 08:56,2024-01,수,08시,경북,전화,반품/교환,보통,처리완료,이재원,15.0,5.0,Y
INQ-20242998,2024-01-03 09:33,2024-01,수,09시,제주,이메일,반품/교환,보통,처리완료,한승호,37.0,5.0,Y
INQ-20242316,2024-01-03 10:50,2024-01,수,10시,경기,카카오톡,반품/교환,높음,처리완료,이재원,34.0,4.0,Y
INQ-20241261,2024-01-03 11:05,2024-01,수,11시,충북,전화,계정문의,보통,처리완료,박소연,23.0,4.0,Y
INQ-20241142,2024-01-03 14:54,2024-01,수,14시,서울,이메일,상품문의,낮음,처리중,박소연,,,미결
INQ-20241934,2024-01-03 16:22,2024-01,수,16시,경기,전화,반품/교환,보통,처리완료,윤지아,50.0,4.0,Y
INQ-20244580,2024-01-03 18:36,2024-01,수,18시,인천,이메일,반품/교환,보통,처리중,정다은,,,미결
INQ-20242052,2024-01-03 19:54,2024-01,수,19시,인천,전화,배송문의,낮음,처리중,윤지아,,,미결
INQ-20242814,2024-01-03 21:31,2024-01,수,21시,부산,이메일,상품문의,높음,처리완료,최현우,13.0,3.0,Y
INQ-20242715,2024-01-03 23:48,2024-01,수,23시,경남,채팅,배송문의,낮음,처리완료,장현석,4.0,4.0,Y
INQ-20243580,2024-01-04 00:04,2024-01,목,00시,전북,채팅,결제문의,보통,처리완료,정다은,11.0,4.0,Y
INQ-20241303,2024-01-04 01:15,2024-01,목,01시,서울,앱,서비스불만,보통,대기,이재원,,,미결
INQ-20240436,2024-01-04 03:40,2024-01,목,03시,서울,이메일,반품/교환,보통,처리중,최현우,,,미결
INQ-20242638,2024-01-04 04:14,2024-01,목,04시,인천,채팅,결제문의,보통,처리완료,정다은,23.0,3.0,Y
INQ-20244751,2024-01-04 05:35,2024-01,목,05시,대구,전화,기타,보통,처리중,이재원,,,미결
INQ-20242031,2024-01-04 07:04,2024-01,목,07시,경기,전화,반품/교환,보통,처리완료,이재원,31.0,4.0,Y
INQ-20240938,2024-01-04 09:06,2024-01,목,09시,대전,이메일,결제문의,높음,처리완료,장현석,25.0,5.0,Y
INQ-20241023,2024-01-04 11:47,2024-01,목,11시,경남,카카오톡,상품문의,낮음,처리완료,장현석,10.0,3.0,Y
INQ-20243424,2024-01-04 22:01,2024-01,목,22시,경기,전화,반품/교환,낮음,처리중,이재원,,,미결
INQ-20244818,2024-01-04 22:07,2024-01,목,22시,서울,채팅,배송문의,높음,처리완료,최현우,7.0,5.0,Y
INQ-20244801,2024-01-04 22:10,2024-01,목,22시,충남,채팅,결제문의,보통,처리완료,박소연,35.0,4.0,N
INQ-20243900,2024-01-04 22:40,2024-01,목,22시,부산,카카오톡,배송문의,보통,처리중,박소연,,,미결
INQ-20244055,2024-01-04 22:58,2024-01,목,22시,경남,전화,결제문의,낮음,재문의,장현석,,,미결
INQ-20243099,2024-01-04 23:18,2024-01,목,23시,서울,전화,계정문의,보통,처리완료,윤지아,36.0,4.0,Y
INQ-20242092,2024-01-04 23:53,2024-01,목,23시,부산,전화,상품문의,보통,재문의,장현석,,,미결
INQ-20242034,2024-01-05 05:23,2024-01,금,05시,부산,채팅,계정문의,보통,처리완료,최현우,37.0,5.0,Y
INQ-20240580,2024-01-05 05:27,2024-01,금,05시,서울,카카오톡,계정문의,보통,처리완료,이재원,12.0,4.0,Y
INQ-20240574,2024-01-05 08:35,2024-01,금,08시,경기,채팅,상품문의,높음,처리완료,김민지,8.0,4.0,Y
INQ-20242438,2024-01-05 11:11,2024-01,금,11시,경기,채팅,서비스불만,보통,처리완료,정다은,79.0,3.0,N
INQ-20241641,2024-01-05 12:08,2024-01,금,12시,제주,채팅,반품/교환,보통,재문의,박소연,,,미결
INQ-20241897,2024-01-05 12:29,2024-01,금,12시,서울,이메일,상품문의,높음,처리중,윤지아,,,미결
INQ-20244821,2024-01-05 12:40,2024-01,금,12시,강원,채팅,상품문의,낮음,처리완료,이재원,15.0,3.0,Y
INQ-20243096,2024-01-05 12:58,2024-01,금,12시,경북,전화,반품/교환,보통,처리완료,윤지아,50.0,3.0,Y
INQ-20240941,2024-01-05 14:27,2024-01,금,14시,경기,전화,배송문의,보통,처리완료,박소연,12.0,5.0,Y
INQ-20244816,2024-01-05 16:10,2024-01,금,16시,충북,채팅,배송문의,높음,처리완료,이재원,5.0,4.0,Y
INQ-20241115,2024-01-05 18:36,2024-01,금,18시,충북,전화,반품/교환,높음,재문의,박소연,,,미결
INQ-20242445,2024-01-05 19:56,2024-01,금,19시,서울,전화,반품/교환,높음,재문의,박소연,,,미결
INQ-20244720,2024-01-05 21:33,2024-01,금,21시,서울,채팅,배송문의,보통,처리완료,윤지아,15.0,3.0,Y
INQ-20243320,2024-01-05 22:16,2024-01,금,22시,경기,전화,반품/교환,보통,처리완료,박소연,20.0,3.0,Y
INQ-20242742,2024-01-05 22:54,2024-01,금,22시,전남,이메일,반품/교환,낮음,처리완료,박소연,1.0,5.0,Y
INQ-20242440,2024-01-06 02:30,2024-01,토,02시,경기,전화,상품문의,낮음,재문의,장현석,,,미결
INQ-20240977,2024-01-06 04:07,2024-01,토,04시,경기,전화,계정문의,보통,처리완료,이재원,13.0,4.0,Y
INQ-20244726,2024-01-06 06:27,2024-01,토,06시,경기,전화,배송문의,낮음,처리완료,한승호,20.0,2.0,Y
INQ-20242204,2024-01-06 06:33,2024-01,토,06시,경기,전화,배송문의,보통,대기,한승호,,,미결
INQ-20243000,2024-01-06 06:34,2024-01,토,06시,경기,전화,계정문의,보통,처리완료,박소연,32.0,4.0,Y
INQ-20242787,2024-01-06 08:36,2024-01,토,08시,부산,이메일,상품문의,낮음,처리중,정다은,,,미결
INQ-20244711,2024-01-06 09:42,2024-01,토,09시,충북,채팅,상품문의,낮음,대기,한승호,,,미결
INQ-20243056,2024-01-06 09:51,2024-01,토,09시,전북,이메일,반품/교환,낮음,처리중,장현석,,,미결
INQ-20244840,2024-01-06 10:14,2024-01,토,10시,경기,채팅,상품문의,보통,재문의,윤지아,,,미결
INQ-20244834,2024-01-06 12:22,2024-01,토,12시,경남,전화,배송문의,보통,처리완료,정다은,8.0,3.0,Y
INQ-20241139,2024-01-06 15:54,2024-01,토,15시,부산,이메일,결제문의,보통,재문의,장현석,,,미결
INQ-20242021,2024-01-06 18:59,2024-01,토,18시,대구,앱,계정문의,낮음,처리완료,이재원,31.0,3.0,Y
INQ-20244778,2024-01-06 19:17,2024-01,토,19시,경기,채팅,반품/교환,낮음,처리완료,장현석,36.0,4.0,Y
INQ-20242068,2024-01-06 22:13,2024-01,토,22시,서울,전화,배송문의,낮음,처리완료,윤지아,24.0,4.0,N
INQ-20243352,2024-01-06 22:45,2024-01,토,22시,대구,이메일,결제문의,낮음,처리완료,김민지,14.0,5.0,Y
INQ-20241475,2024-01-07 01:01,2024-01,일,01시,서울,채팅,반품/교환,보통,처리완료,장현석,30.0,3.0,Y
INQ-20242859,2024-01-07 02:25,2024-01,일,02시,경남,전화,계정문의,높음,처리완료,박소연,39.0,4.0,Y
INQ-20240962,2024-01-07 02:36,2024-01,일,02시,경남,전화,계정문의,보통,처리완료,장현석,41.0,4.0,N
INQ-20242542,2024-01-07 04:03,2024-01,일,04시,대전,전화,반품/교환,높음,처리완료,윤지아,33.0,4.0,Y
INQ-20242219,2024-01-07 06:49,2024-01,일,06시,울산,카카오톡,결제문의,보통,처리완료,최현우,19.0,4.0,Y
INQ-20240240,2024-01-07 07:54,2024-01,일,07시,경기,카카오톡,반품/교환,보통,대기,윤지아,,,미결
INQ-20243420,2024-01-07 08:08,2024-01,일,08시,인천,전화,배송문의,낮음,처리완료,최현우,1.0,4.0,Y
INQ-20240674,2024-01-07 10:39,2024-01,일,10시,전북,전화,상품문의,낮음,처리중,한승호,,,미결
INQ-20244618,2024-01-07 12:22,2024-01,일,12시,서울,전화,배송문의,보통,처리완료,한승호,5.0,4.0,Y
INQ-20241983,2024-01-07 13:22,2024-01,일,13시,제주,전화,반품/교환,낮음,대기,박소연,,,미결
INQ-20242851,2024-01-07 19:23,2024-01,일,19시,경남,전화,상품문의,보통,처리중,김민지,,,미결
INQ-20240459,2024-01-07 20:30,2024-01,일,20시,경기,이메일,배송문의,낮음,처리완료,최현우,17.0,5.0,Y
INQ-20243065,2024-01-07 23:54,2024-01,일,23시,전북,채팅,반품/교환,낮음,처리중,한승호,,,미결
INQ-20243276,2024-01-08 00:54,2024-01,월,00시,서울,이메일,상품문의,높음,처리완료,정다은,7.0,4.0,Y
INQ-20242812,2024-01-08 05:43,2024-01,월,05시,인천,채팅,배송문의,보통,재문의,한승호,,,미결
INQ-20243789,2024-01-08 06:44,2024-01,월,06시,서울,채팅,반품/교환,보통,처리완료,윤지아,55.0,3.0,Y
INQ-20241630,2024-01-08 08:48,2024-01,월,08시,인천,채팅,계정문의,낮음,처리완료,최현우,27.0,4.0,Y
INQ-20244958,2024-01-08 15:26,2024-01,월,15시,인천,전화,반품/교환,낮음,재문의,이재원,,,미결
INQ-20242553,2024-01-08 18:34,2024-01,월,18시,서울,전화,배송문의,보통,처리완료,이재원,5.0,5.0,Y
INQ-20242873,2024-01-08 19:46,2024-01,월,19시,대구,채팅,서비스불만,낮음,처리완료,박소연,29.0,4.0,Y
INQ-20241238,2024-01-08 22:53,2024-01,월,22시,인천,카카오톡,배송문의,높음,재문의,김민지,,,미결
INQ-20241547,2024-01-08 23:25,2024-01,월,23시,경기,전화,반품/교환,보통,처리완료,최현우,44.0,4.0,Y
INQ-20243707,2024-01-09 01:40,2024-01,화,01시,경북,앱,상품문의,높음,처리완료,최현우,17.0,4.0,N
INQ-20241535,2024-01-09 03:30,2024-01,화,03시,서울,전화,반품/교환,보통,처리완료,한승호,33.0,4.0,Y
INQ-20241804,2024-01-09 03:36,2024-01,화,03시,경기,채팅,배송문의,낮음,처리완료,윤지아,11.0,5.0,Y
INQ-20242571,2024-01-09 04:06,2024-01,화,04시,경남,이메일,반품/교환,보통,처리중,한승호,,,미결
INQ-20244491,2024-01-09 04:24,2024-01,화,04시,경기,카카오톡,상품문의,높음,처리완료,박소연,7.0,3.0,Y
INQ-20240757,2024-01-09 05:27,2024-01,화,05시,경기,이메일,결제문의,보통,처리완료,윤지아,6.0,5.0,Y
INQ-20241404,2024-01-09 09:34,2024-01,화,09시,서울,채팅,배송문의,보통,처리중,장현석,,,미결
INQ-20241083,2024-01-09 10:03,2024-01,화,10시,서울,전화,계정문의,높음,처리완료,이재원,10.0,4.0,Y
INQ-20242994,2024-01-09 15:28,2024-01,화,15시,경기,전화,기타,높음,처리완료,박소연,5.0,3.0,Y
INQ-20240015,2024-01-09 17:38,2024-01,화,17시,서울,채팅,배송문의,낮음,대기,한승호,,,미결
INQ-20244222,2024-01-09 21:10,2024-01,화,21시,대구,이메일,반품/교환,보통,대기,윤지아,,,미결
INQ-20244691,2024-01-09 22:59,2024-01,화,22시,서울,전화,계정문의,낮음,처리완료,김민지,32.0,3.0,Y
INQ-20241245,2024-01-09 23:01,2024-01,화,23시,서울,채팅,반품/교환,낮음,처리완료,김민지,27.0,3.0,Y
INQ-20241073,2024-01-10 00:48,2024-01,수,00시,경기,이메일,결제문의,높음,처리중,윤지아,,,미결
INQ-20244604,2024-01-10 02:29,2024-01,수,02시,강원,채팅,배송문의,보통,처리완료,한승호,11.0,5.0,Y
INQ-20243338,2024-01-10 03:06,2024-01,수,03시,서울,전화,반품/교환,보통,재문의,장현석,,,미결
INQ-20242928,2024-01-10 04:15,2024-01,수,04시,대구,앱,배송문의,보통,처리완료,한승호,19.0,5.0,Y
INQ-20243104,2024-01-10 04:44,2024-01,수,04시,전북,채팅,반품/교환,보통,처리완료,장현석,31.0,4.0,Y
INQ-20241906,2024-01-10 05:36,2024-01,수,05시,경기,전화,상품문의,높음,처리완료,박소연,10.0,4.0,Y
INQ-20240094,2024-01-10 07:21,2024-01,수,07시,경기,채팅,반품/교환,높음,처리완료,김민지,38.0,4.0,Y
INQ-20240446,2024-01-10 09:04,2024-01,수,09시,서울,채팅,결제문의,보통,처리완료,윤지아,30.0,4.0,Y
INQ-20243018,2024-01-10 10:32,2024-01,수,10시,경기,전화,반품/교환,보통,처리완료,윤지아,16.0,3.0,Y
INQ-20244789,2024-01-10 13:19,2024-01,수,13시,울산,전화,서비스불만,낮음,대기,최현우,,,미결
INQ-20244213,2024-01-10 13:55,2024-01,수,13시,경남,전화,배송문의,보통,처리완료,한승호,12.0,2.0,Y
INQ-20242648,2024-01-10 15:23,2024-01,수,15시,서울,전화,배송문의,보통,처리중,윤지아,,,미결
INQ-20242429,2024-01-10 21:02,2024-01,수,21시,서울,채팅,반품/교환,낮음,처리완료,김민지,45.0,2.0,Y
INQ-20244880,2024-01-11 00:29,2024-01,목,00시,경기,이메일,상품문의,높음,처리완료,김민지,12.0,5.0,Y
INQ-20244276,2024-01-11 01:56,2024-01,목,01시,대전,전화,상품문의,낮음,처리중,이재원,,,미결
INQ-20242041,2024-01-11 09:28,2024-01,목,09시,전북,이메일,반품/교환,높음,처리완료,이재원,39.0,5.0,Y
INQ-20242046,2024-01-11 09:36,2024-01,목,09시,광주,이메일,상품문의,보통,처리완료,정다은,5.0,5.0,Y
INQ-20244629,2024-01-11 09:49,2024-01,목,09시,광주,전화,배송문의,높음,처리완료,정다은,6.0,5.0,Y
INQ-20240958,2024-01-11 11:29,2024-01,목,11시,경기,전화,계정문의,높음,처리중,김민지,,,미결
INQ-20242860,2024-01-11 12:10,2024-01,목,12시,부산,전화,기타,보통,처리완료,정다은,18.0,4.0,Y
INQ-20242465,2024-01-11 13:31,2024-01,목,13시,전북,이메일,반품/교환,보통,처리완료,윤지아,5.0,4.0,Y
INQ-20243080,2024-01-11 17:16,2024-01,목,17시,경북,카카오톡,결제문의,보통,처리중,윤지아,,,미결
INQ-20244781,2024-01-11 18:17,2024-01,목,18시,경기,전화,배송문의,보통,처리완료,박소연,26.0,5.0,N
INQ-20243995,2024-01-11 18:22,2024-01,목,18시,서울,카카오톡,반품/교환,보통,처리완료,박소연,38.0,4.0,Y
INQ-20244758,2024-01-11 22:17,2024-01,목,22시,서울,전화,결제문의,낮음,처리완료,정다은,22.0,4.0,Y
INQ-20242949,2024-01-12 04:10,2024-01,금,04시,대전,이메일,서비스불만,높음,처리완료,이재원,64.0,5.0,N
INQ-20241433,2024-01-12 05:22,2024-01,금,05시,서울,카카오톡,배송문의,높음,처리완료,장현석,15.0,3.0,Y
INQ-20243626,2024-01-12 14:33,2024-01,금,14시,전북,전화,배송문의,낮음,처리완료,정다은,11.0,5.0,Y
INQ-20244302,2024-01-12 15:45,2024-01,금,15시,서울,앱,계정문의,높음,처리완료,정다은,14.0,4.0,Y
INQ-20243406,2024-01-12 18:58,2024-01,금,18시,서울,이메일,계정문의,낮음,처리완료,최현우,26.0,4.0,Y
INQ-20240304,2024-01-12 19:55,2024-01,금,19시,인천,전화,결제문의,보통,처리완료,정다은,22.0,4.0,Y
INQ-20242930,2024-01-13 00:40,2024-01,토,00시,경기,카카오톡,배송문의,보통,처리중,이재원,,,미결
INQ-20244282,2024-01-13 01:57,2024-01,토,01시,충남,전화,반품/교환,낮음,대기,장현석,,,미결
INQ-20242942,2024-01-13 03:08,2024-01,토,03시,부산,채팅,반품/교환,보통,처리완료,최현우,39.0,2.0,Y
INQ-20243235,2024-01-13 04:31,2024-01,토,04시,제주,앱,반품/교환,낮음,처리완료,박소연,54.0,4.0,Y
INQ-20240952,2024-01-13 05:18,2024-01,토,05시,서울,전화,상품문의,높음,처리완료,윤지아,18.0,5.0,N
INQ-20241345,2024-01-13 05:22,2024-01,토,05시,경기,전화,배송문의,보통,처리중,정다은,,,미결
INQ-20240787,2024-01-13 07:55,2024-01,토,07시,경기,전화,배송문의,높음,처리중,이재원,,,미결
INQ-20244984,2024-01-13 08:35,2024-01,토,08시,대전,채팅,서비스불만,보통,대기,이재원,,,미결
INQ-20242033,2024-01-13 15:23,2024-01,토,15시,제주,이메일,상품문의,보통,처리완료,최현우,3.0,4.0,Y
INQ-20243130,2024-01-13 16:14,2024-01,토,16시,서울,채팅,반품/교환,보통,처리완료,이재원,25.0,4.0,Y
INQ-20244101,2024-01-13 16:29,2024-01,토,16시,경기,카카오톡,반품/교환,보통,처리완료,최현우,7.0,4.0,Y
INQ-20243876,2024-01-13 16:43,2024-01,토,16시,울산,전화,반품/교환,보통,처리중,이재원,,,미결
INQ-20242090,2024-01-13 17:59,2024-01,토,17시,서울,채팅,상품문의,낮음,재문의,박소연,,,미결
INQ-20242745,2024-01-13 18:24,2024-01,토,18시,충남,채팅,반품/교환,낮음,처리중,장현석,,,미결
INQ-20240088,2024-01-13 22:20,2024-01,토,22시,부산,전화,배송문의,보통,처리중,한승호,,,미결
INQ-20240880,2024-01-14 05:48,2024-01,일,05시,부산,앱,배송문의,낮음,처리완료,윤지아,14.0,5.0,Y
INQ-20243768,2024-01-14 09:56,2024-01,일,09시,경기,채팅,반품/교환,보통,처리완료,장현석,46.0,2.0,Y
INQ-20242127,2024-01-14 12:31,2024-01,일,12시,경북,채팅,배송문의,보통,처리완료,이재원,21.0,3.0,N
INQ-20242490,2024-01-14 12:49,2024-01,일,12시,충북,전화,결제문의,보통,처리중,한승호,,,미결
INQ-20242802,2024-01-14 16:34,2024-01,일,16시,서울,전화,배송문의,높음,처리완료,이재원,10.0,3.0,Y
INQ-20242592,2024-01-14 20:41,2024-01,일,20시,서울,전화,계정문의,보통,처리완료,한승호,12.0,5.0,Y
INQ-20244349,2024-01-14 21:09,2024-01,일,21시,경기,전화,결제문의,보통,처리중,이재원,,,미결
INQ-20242972,2024-01-14 21:29,2024-01,일,21시,경기,채팅,서비스불만,보통,처리완료,한승호,33.0,4.0,Y
INQ-20241014,2024-01-14 22:27,2024-01,일,22시,경기,전화,기타,보통,처리중,박소연,,,미결
INQ-20241006,2024-01-14 23:10,2024-01,일,23시,경기,전화,서비스불만,높음,처리완료,최현우,45.0,3.0,Y
INQ-20240718,2024-01-15 00:07,2024-01,월,00시,서울,전화,상품문의,낮음,처리중,한승호,,,미결
INQ-20240642,2024-01-15 00:09,2024-01,월,00시,광주,채팅,반품/교환,보통,처리완료,이재원,52.0,3.0,Y
INQ-20242910,2024-01-15 00:54,2024-01,월,00시,경기,채팅,결제문의,낮음,처리완료,최현우,23.0,4.0,Y
INQ-20243948,2024-01-15 02:36,2024-01,월,02시,대전,이메일,반품/교환,보통,처리완료,김민지,54.0,4.0,Y
INQ-20240199,2024-01-15 05:07,2024-01,월,05시,서울,전화,계정문의,보통,처리완료,윤지아,25.0,3.0,Y
INQ-20240675,2024-01-15 06:25,2024-01,월,06시,충남,전화,계정문의,낮음,처리완료,이재원,36.0,4.0,Y
INQ-20242415,2024-01-15 06:44,2024-01,월,06시,서울,전화,계정문의,보통,처리중,윤지아,,,미결
INQ-20243215,2024-01-15 06:46,2024-01,월,06시,서울,채팅,배송문의,보통,처리중,이재원,,,미결
INQ-20244164,2024-01-15 09:36,2024-01,월,09시,충남,전화,계정문의,보통,처리완료,최현우,7.0,3.0,Y
INQ-20242954,2024-01-15 09:54,2024-01,월,09시,서울,전화,반품/교환,낮음,처리완료,장현석,42.0,5.0,Y
INQ-20240412,2024-01-15 14:18,2024-01,월,14시,경기,앱,상품문의,보통,처리완료,장현석,4.0,4.0,Y
INQ-20240482,2024-01-15 18:00,2024-01,월,18시,부산,전화,배송문의,높음,처리완료,정다은,11.0,3.0,Y
INQ-20241175,2024-01-15 18:05,2024-01,월,18시,부산,이메일,계정문의,보통,처리중,이재원,,,미결
INQ-20244739,2024-01-15 19:20,2024-01,월,19시,광주,카카오톡,배송문의,낮음,처리완료,정다은,7.0,4.0,Y
INQ-20242072,2024-01-15 23:00,2024-01,월,23시,충남,전화,반품/교환,보통,처리중,이재원,,,미결
INQ-20241503,2024-01-15 23:01,2024-01,월,23시,서울,채팅,결제문의,낮음,처리완료,김민지,33.0,4.0,N
INQ-20243713,2024-01-16 06:05,2024-01,화,06시,광주,이메일,서비스불만,보통,처리중,장현석,,,미결
INQ-20241941,2024-01-16 07:09,2024-01,화,07시,경기,이메일,상품문의,높음,대기,정다은,,,미결
INQ-20242696,2024-01-16 10:11,2024-01,화,10시,서울,채팅,반품/교환,낮음,처리중,한승호,,,미결
INQ-20241375,2024-01-16 11:14,2024-01,화,11시,부산,전화,반품/교환,낮음,처리완료,한승호,17.0,5.0,Y
INQ-20241243,2024-01-16 16:49,2024-01,화,16시,서울,전화,계정문의,보통,처리중,최현우,,,미결
INQ-20241500,2024-01-16 18:03,2024-01,화,18시,광주,카카오톡,배송문의,낮음,처리중,이재원,,,미결
INQ-20241213,2024-01-16 18:39,2024-01,화,18시,대전,전화,반품/교환,보통,처리완료,김민지,60.0,4.0,Y
INQ-20244192,2024-01-16 19:03,2024-01,화,19시,충북,이메일,계정문의,낮음,처리완료,윤지아,6.0,4.0,Y
INQ-20242589,2024-01-17 00:06,2024-01,수,00시,대전,이메일,반품/교환,보통,처리완료,윤지아,46.0,4.0,Y
INQ-20240677,2024-01-17 00:32,2024-01,수,00시,서울,전화,서비스불만,보통,처리완료,박소연,36.0,3.0,Y
INQ-20242714,2024-01-17 02:37,2024-01,수,02시,대전,채팅,결제문의,보통,처리완료,정다은,28.0,4.0,Y
INQ-20243810,2024-01-17 03:09,2024-01,수,03시,서울,채팅,결제문의,낮음,처리완료,박소연,50.0,5.0,N
INQ-20241401,2024-01-17 03:29,2024-01,수,03시,부산,전화,계정문의,높음,처리중,최현우,,,미결
INQ-20244461,2024-01-17 04:16,2024-01,수,04시,충남,카카오톡,반품/교환,보통,처리완료,한승호,21.0,3.0,Y
INQ-20244380,2024-01-17 04:43,2024-01,수,04시,경기,이메일,배송문의,보통,처리완료,한승호,13.0,5.0,Y
INQ-20244634,2024-01-17 15:16,2024-01,수,15시,서울,전화,결제문의,낮음,처리완료,최현우,23.0,3.0,Y
INQ-20241866,2024-01-17 16:22,2024-01,수,16시,충북,전화,배송문의,높음,처리완료,장현석,14.0,5.0,Y
INQ-20243926,2024-01-17 17:59,2024-01,수,17시,서울,전화,배송문의,높음,처리완료,김민지,23.0,4.0,N
INQ-20242100,2024-01-17 18:04,2024-01,수,18시,전남,채팅,상품문의,보통,처리완료,박소연,7.0,4.0,Y
INQ-20240281,2024-01-17 22:19,2024-01,수,22시,전남,앱,반품/교환,보통,처리중,윤지아,,,미결
INQ-20244235,2024-01-18 01:18,2024-01,목,01시,경기,채팅,배송문의,높음,대기,정다은,,,미결
INQ-20244130,2024-01-18 01:39,2024-01,목,01시,경기,채팅,기타,낮음,처리완료,한승호,13.0,5.0,Y
INQ-20243624,2024-01-18 03:28,2024-01,목,03시,서울,카카오톡,기타,낮음,처리중,윤지아,,,미결
INQ-20241652,2024-01-18 05:22,2024-01,목,05시,전남,전화,결제문의,낮음,처리완료,김민지,6.0,3.0,Y
INQ-20244238,2024-01-18 06:36,2024-01,목,06시,대구,채팅,반품/교환,보통,대기,한승호,,,미결
INQ-20241078,2024-01-18 07:08,2024-01,목,07시,인천,채팅,배송문의,낮음,처리완료,한승호,14.0,4.0,Y
INQ-20241008,2024-01-18 07:33,2024-01,목,07시,경기,전화,배송문의,보통,처리완료,윤지아,10.0,3.0,Y
INQ-20242099,2024-01-18 07:34,2024-01,목,07시,부산,채팅,반품/교환,낮음,처리완료,정다은,56.0,5.0,Y
INQ-20243619,2024-01-18 08:05,2024-01,목,08시,경기,전화,배송문의,보통,처리완료,한승호,26.0,4.0,N
INQ-20243037,2024-01-18 08:17,2024-01,목,08시,경남,채팅,반품/교환,낮음,처리중,장현석,,,미결
INQ-20241595,2024-01-18 10:05,2024-01,목,10시,충북,채팅,반품/교환,낮음,처리중,윤지아,,,미결
INQ-20242753,2024-01-18 14:03,2024-01,목,14시,제주,이메일,배송문의,보통,처리중,이재원,,,미결
INQ-20241643,2024-01-18 14:49,2024-01,목,14시,경북,전화,계정문의,보통,처리완료,최현우,18.0,4.0,Y
